Time spent by person 2 in line is 4.202222222222223
Time spent by person 2 in line is 7.9708818342151675
Time spent by person 3 in line is 17.50925925925926
Time spent by person 4 in line is 17.876119929453264
Time spent by person 5 in line is 21.344620811287477
Time spent by person 7 in line is 23.67918871252205
Time spent by person 8 in line is 23.212275132275135
Time spent by person 9 in line is 25.646895943562612
Time spent by person 11 in line is 22.011640211640213
Average time spent in line is 20.432
